,Mowgli,Baloo,Kaa,Shere Khan,Bagheera,King Louie,Akela,Raksha,Colonel Hathi,Winifred,Hathi Jr.,Rama,Vulture,Shanti
Mowgli,0,1,-1,-1,1,-1,1,1,1,0,1,1,1,1
Baloo,,0,0,-1,1,-1,0,0,0,0,0,0,0,0
Kaa,,,0,-1,-1,0,0,0,0,0,0,0,0,0
Shere Khan,,,,0,-1,0,0,0,0,0,0,0,-1,0
Bagheera,,,,,0,0,1,1,1,1,0,1,0,0
King Louie,,,,,,0,0,0,0,0,0,0,0,0
Akela,,,,,,,0,1,0,0,0,1,0,0
Raksha,,,,,,,,0,0,0,0,1,0,0
Colonel Hathi,,,,,,,,,0,1,1,0,0,0
Winifred,,,,,,,,,,0,1,0,0,0
Hathi Jr.,,,,,,,,,,,0,0,0,0
Rama,,,,,,,,,,,,0,0,0
Vulture,,,,,,,,,,,,,0,0
Shanti,,,,,,,,,,,,,,0